Fecha;Cierre
6/09/2021;13911.75
6/08/2021;13924.91
6/07/2021;13881.72
6/04/2021;13814.49
6/03/2021;13614.51
6/02/2021;13756.33
6/01/2021;13736.48
05/28/2021;13748.74
05/27/2021;13736.28
05/26/2021;13738
05/25/2021;13657.17
05/24/2021;13661.17
05/21/2021;13470.99
05/20/2021;13535.74
05/19/2021;13299.74
05/18/2021;13303.64
05/17/2021;13379.05
05/14/2021;13379.05
05/13/2021;13124.99
5/12/2021;13031.68
5/11/2021;13389.43
5/10/2021;13401.86
5/07/2021;13752.24
5/06/2021;13632.84
5/05/2021;13582.42
5/04/2021;13633.5
5/03/2021;13895.12
04/30/2021;13962.68
04/29/2021;14082.55
04/28/2021;14051.03
04/27/2021;14090.22
04/26/2021;14138.78
04/23/2021;14016.81
04/22/2021;13818.41
04/21/2021;13950.22
04/20/2021;13786.27
04/19/2021;13914.77
04/16/2021;14052.34
04/15/2021;14038.76
04/14/2021;13857.84
04/13/2021;13996.1
4/12/2021;13850
4/09/2021;13900.19
4/08/2021;13829.31
4/07/2021;13688.84
4/06/2021;13698.38
4/05/2021;13705.59
4/01/2021;13480.11
03/31/2021;13246.87
03/30/2021;13045.39
03/29/2021;13059.65
03/26/2021;13138.72
03/25/2021;12977.68
03/24/2021;12961.89
03/23/2021;13227.7
03/22/2021;13377.54
03/19/2021;13215.24
03/18/2021;13116.17
03/17/2021;13525.2
03/16/2021;13471.57
03/15/2021;13459.71
3/12/2021;13319.86
3/11/2021;13398.67
3/10/2021;13068.83
3/09/2021;13073.82
3/08/2021;12609.16
3/05/2021;12920.15
3/04/2021;12723.47
3/03/2021;12997.75
3/02/2021;13358.79
3/01/2021;13588.83
02/26/2021;13192.35
02/25/2021;13119.43
02/24/2021;13597.97
02/23/2021;13465.2
02/22/2021;13533.05
02/19/2021;13874.46
02/18/2021;13865.36
02/17/2021;13965.49
02/16/2021;14047.5
2/12/2021;14095.47
2/11/2021;14025.77
2/10/2021;13972.53
2/09/2021;14007.7
2/08/2021;13987.64
2/05/2021;13856.3
2/04/2021;13777.74
2/03/2021;13610.54
2/02/2021;13612.78
2/01/2021;13403.39
01/29/2021;13070.69
01/28/2021;13337.16
01/27/2021;13270.6
01/26/2021;13626.06
01/25/2021;13635.99
01/22/2021;13543.06
01/21/2021;13530.91
01/20/2021;13457.25
01/19/2021;13197.18
01/15/2021;12998.5
01/14/2021;13112.64
01/13/2021;13128.95
1/12/2021;13072.43
1/11/2021;13036.43
1/08/2021;13201.98
1/07/2021;13067.48
1/06/2021;12740.79
1/05/2021;12818.96
1/04/2021;12698.45
12/31/2020;12888.28
12/30/2020;12870
12/29/2020;12850.22
12/28/2020;12899.42
12/24/2020;12804.73
12/23/2020;12771.11
12/22/2020;12807.92
12/21/2020;12742.52
12/18/2020;12755.64
12/17/2020;12764.75
12/16/2020;12658.19
12/15/2020;12595.06
12/14/2020;12440.04
12/11/2020;12377.87
12/10/2020;12405.81
12/09/2020;12338.95
12/08/2020;12582.77
12/07/2020;12519.95
12/04/2020;12464.23
12/03/2020;12377.18
12/02/2020;12349.37
12/01/2020;12355.11
11/30/2020;12198.74
11/27/2020;12205.85
11/25/2020;12094.4
11/24/2020;12037.33
11/23/2020;11881.17
11/20/2020;11854.97
11/19/2020;11904.71
11/18/2020;11801.6
11/17/2020;11899.34
11/16/2020;11924.13
11/13/2020;11829.29
11/12/2020;11709.59
11/11/2020;11786.43
11/10/2020;11553.86
11/09/2020;11713.78
11/06/2020;11895.23
11/05/2020;11890.93
11/04/2020;11590.78
11/03/2020;11160.57
11/02/2020;10957.61
10/30/2020;10911.59
10/29/2020;11185.59
10/28/2020;11004.87
10/27/2020;11431.35
10/26/2020;11358.94
10/23/2020;11548.28
10/22/2020;11506.01
10/21/2020;11484.69
10/20/2020;11516.49
10/19/2020;11478.88
10/16/2020;11671.56
10/15/2020;11713.87
10/14/2020;11768.73
10/13/2020;11863.9
10/12/2020;11876.26
10/09/2020;11579.94
10/08/2020;11420.98
10/07/2020;11364.6
10/06/2020;11154.6
10/05/2020;11332.49
10/02/2020;11075.02
10/01/2020;11326.51
09/30/2020;11167.51
09/29/2020;11085.25
09/28/2020;11117.52
09/25/2020;10913.56
09/24/2020;10672.27
09/23/2020;10632.99
09/22/2020;10963.64
09/21/2020;10778.8
09/18/2020;10793.28
09/17/2020;10910.28
09/16/2020;11050.47
09/15/2020;11190.32
09/14/2020;11056.65
9/11/2020;10853.55
9/10/2020;10919.59
9/09/2020;11141.56
9/08/2020;10847.69
9/04/2020;11313.13
9/03/2020;11458.1
9/02/2020;12056.44
9/01/2020;11939.67
08/31/2020;11775.46
08/28/2020;11695.63
08/27/2020;11625.34
08/26/2020;11665.06
08/25/2020;11466.47
08/24/2020;11379.72
08/21/2020;11311.8
08/20/2020;11264.95
08/19/2020;11146.46
08/18/2020;11210.84
08/17/2020;11129.73
08/14/2020;11019.3
08/13/2020;11042.5
8/12/2020;11012.24
8/11/2020;10782.82
8/10/2020;10968.36
8/07/2020;11010.98
8/06/2020;11108.07
8/05/2020;10998.4
8/04/2020;10941.17
8/03/2020;10902.8
07/31/2020;10745.27
07/30/2020;10587.81
07/29/2020;10542.94
07/28/2020;10402.09
07/27/2020;10536.27
07/24/2020;10363.18
07/23/2020;10461.42
07/22/2020;10706.13
07/21/2020;10680.36
07/20/2020;10767.09
07/17/2020;10503.19
07/16/2020;10473.83
07/15/2020;10550.49
07/14/2020;10488.58
07/13/2020;10390.84
7/10/2020;10617.44
7/09/2020;10547.75
7/08/2020;10492.5
7/07/2020;10343.89
7/06/2020;10433.65
7/02/2020;10207.63
7/01/2020;10154.63
06/30/2020;10058.77
06/29/2020;9874.15
06/26/2020;9757.22
06/25/2020;10017
06/24/2020;9909.17
06/23/2020;10131.37
06/22/2020;10056.47
06/19/2020;9946.12
06/18/2020;9943.05
06/17/2020;9910.53
06/16/2020;9895.87
06/15/2020;9726.02
6/12/2020;9588.81
6/11/2020;9492.73
6/10/2020;10020.35
6/09/2020;9953.75
6/08/2020;9924.74
6/05/2020;9814.08
6/04/2020;9615.81
6/03/2020;9682.91
6/02/2020;9608.37
6/01/2020;9552.05
05/29/2020;9489.87
05/28/2020;9368.99
05/27/2020;9412.36
05/26/2020;9340.22
05/22/2020;9324.59
05/21/2020;9284.88
05/20/2020;9375.78
05/19/2020;9185.1
05/18/2020;9234.83
05/15/2020;9014.56
05/14/2020;8943.72
05/13/2020;8863.17
5/12/2020;9002.55
5/11/2020;9192.34
5/08/2020;9121.32
5/07/2020;8979.66
5/06/2020;8854.39
5/05/2020;8809.12
5/04/2020;8710.71
5/01/2020;8604.95
04/30/2020;8889.55
04/29/2020;8914.71
04/28/2020;8607.73
04/27/2020;8730.16
04/24/2020;8634.52
04/23/2020;8494.75
04/22/2020;8495.38
04/21/2020;8263.23
04/20/2020;8560.73
04/17/2020;8650.14
04/16/2020;8532.36
04/15/2020;8393.18
04/14/2020;8515.74
04/13/2020;8192.42
4/09/2020;8153.58
4/08/2020;8090.9
4/07/2020;7887.26
4/06/2020;7913.24
4/03/2020;7373.08
4/02/2020;7487.31
4/01/2020;7360.58
03/31/2020;7700.1
03/30/2020;7774.15
03/27/2020;7502.38
03/26/2020;7797.54
03/25/2020;7384.3
03/24/2020;7417.86
03/23/2020;6860.67
03/20/2020;6879.52
03/19/2020;7150.58
03/18/2020;6989.84
03/17/2020;7334.78
03/16/2020;6904.59
03/13/2020;7874.88
